Title,Available Globally,Release Date,Hours Viewed
La Reina del Sur: Season 1,No,9/5/2011,94700000
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,Yes,1/28/2022,94600000
New Amsterdam (2018): Season 2,No,,94400000
Black Knight: Season 1 // 택배기사: 시즌 1,Yes,5/12/2023,94300000
Breaking Bad: Season 4,No,,94300000
Obsession: Limited Series,Yes,4/13/2023,94200000
Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi,Yes,3/24/2023,92900000
La Reina del Sur: Season 2,No,8/16/2019,92500000
Hunger // คนหิว เกมกระหาย,Yes,4/8/2023,92300000
Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1,Yes,12/10/2020,92200000
CoComelon: Season 3,No,5/31/2021,91400000
Firefly Lane: Season 1,Yes,2/3/2021,91200000
Women at War: Limited Series // Les Combattantes: Mini-série,Yes,10/27/2022,90800000
Formula 1: Drive to Survive: Season 5,Yes,2/24/2023,90200000
Sweet Tooth: Season 1,Yes,6/4/2021,89000000
S.W.A.T. (2017): Season 1,No,,88600000
Murder Mystery,Yes,6/14/2019,87900000
True Beauty // 여신강림,No,,87300000
Squid Game: Season 1 // 오징어 게임: 시즌 1,Yes,9/17/2021,87200000
Little Angel: Volume 2,Yes,,86200000
Manifest: Season 2,No,6/10/2021,86200000
Extraction,Yes,4/24/2020,86100000
Lucifer: Season 2,No,8/31/2017,86100000
Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie,Yes,12/31/2022,86000000
Woman of the Dead: Season 1 // Totenfrau: Season 1,Yes,11/15/2022,85400000
The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1,Yes,2/15/2023,85000000
Florida Man: Limited Series,Yes,4/13/2023,84600000
Lucifer: Season 1,No,7/23/2017,84400000
Shahmaran: Season 1 // Şahmaran: Season 1,Yes,1/20/2023,83600000
Breaking Bad: Season 1,No,,83200000
The Last Kingdom: Seven Kings Must Die,Yes,4/14/2023,83200000
Selling Sunset: Season 6,Yes,5/19/2023,82800000
CoComelon: Season 4,No,10/14/2021,82500000
Suits (2011): Season 3,Yes,,82500000
Sam & Cat: Season 1,No,,82400000
Gilmore Girls: Season 1,Yes,,82100000
Sonic Prime: Season 1,Yes,12/15/2022,82100000
Peppa Pig: Season 1,No,,81800000
Manifest: Season 3,No,8/21/2021,81700000
Roald Dahl's Matilda The Musical,Yes,12/25/2022,81000000
Better Call Saul: Season 6,No,4/19/2022,80800000
Sing (2016),No,,80500000
Hajime no Ippo: The Fighting!: Season 1 // はじめの一歩: シーズン1,No,,80300000
All Quiet on the Western Front // Im Westen nichts Neues,Yes,10/28/2022,80000000
Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1,Yes,3/17/2023,79700000
Alpha Males: Season 1 // Machos alfa: Season 1,No,12/30/2022,78200000
Record of Ragnarok: Season 2 // 終末のワルキューレ: シーズン２,No,1/26/2023,78200000
Chupa,Yes,4/7/2023,77800000
