iter	Passed	Remaining
407	5751	8345
408	5766	8332
409	5781	8319
410	5795	8306
411	5810	8292
412	5825	8279
413	5840	8267
414	5855	8253
415	5870	8241
416	5886	8229
417	5900	8216
418	5914	8201
419	5929	8188
420	5943	8173
421	5957	8159
422	5971	8146
423	5986	8132
424	6000	8118
425	6014	8103
426	6028	8089
427	6043	8076
428	6057	8062
429	6072	8049
430	6086	8035
431	6101	8022
432	6116	8008
433	6130	7995
434	6145	7981
435	6159	7967
436	6173	7953
437	6188	7940
438	6203	7927
439	6218	7914
440	6232	7900
441	6247	7886
442	6261	7873
443	6276	7859
444	6290	7845
445	6304	7830
446	6318	7816
447	6333	7803
448	6347	7789
449	6361	7775
450	6376	7761
451	6390	7747
452	6404	7733
453	6418	7718
454	6433	7705
455	6448	7692
456	6462	7678
457	6476	7664
458	6490	7649
459	6503	7634
460	6516	7619
461	6531	7606
462	6545	7591
463	6561	7579
464	6576	7566
465	6591	7552
466	6607	7540
467	6621	7526
468	6635	7512
469	6648	7497
470	6663	7483
471	6677	7469
472	6689	7453
473	6704	7439
474	6718	7425
475	6732	7410
476	6745	7396
477	6759	7381
478	6772	7366
479	6786	7351
480	6799	7336
481	6812	7321
482	6826	7307
483	6841	7293
484	6855	7279
485	6870	7266
486	6883	7251
487	6896	7236
488	6910	7221
489	6924	7206
490	6936	7191
491	6950	7176
492	6963	7161
493	6976	7146
494	6990	7132
495	7003	7116
496	7017	7102
497	7029	7086
498	7044	7072
499	7058	7058
500	7072	7044
501	7085	7028
502	7098	7013
503	7112	6999
504	7125	6984
505	7140	6970
506	7153	6956
507	7167	6942
508	7181	6927
509	7196	6913
510	7210	6900
511	7224	6885
512	7238	6871
513	7253	6858
514	7267	6844
515	7281	6830
516	7294	6814
517	7307	6800
518	7322	6786
519	7337	6773
520	7352	6759
521	7367	6746
522	7381	6732
523	7395	6718
524	7408	6703
525	7423	6689
526	7438	6676
527	7453	6662
528	7467	6649
529	7481	6634
530	7495	6620
531	7508	6605
532	7522	6590
533	7535	6575
534	7548	6561
535	7562	6546
536	7575	6531
537	7588	6516
538	7613	6511
539	7626	6496
540	7640	6482
541	7654	6467
542	7668	6453
543	7683	6440
544	7698	6427
545	7713	6413
546	7727	6399
547	7740	6384
548	7753	6369
549	7767	6355
550	7780	6340
551	7794	6325
552	7808	6311
553	7821	6296
554	7834	6281
555	7848	6267
556	7863	6254
557	7877	6239
558	7891	6225
559	7905	6211
560	7919	6197
561	7934	6183
562	7946	6168
563	7960	6153
564	7974	6139
565	7988	6125
566	8002	6111
567	8016	6096
568	8030	6082
569	8045	6069
570	8059	6055
571	8074	6042
572	8089	6028
573	8103	6014
574	8117	6000
575	8132	5986
576	8147	5972
577	8161	5958
578	8174	5944
579	8188	5929
580	8201	5914
581	8215	5900
582	8229	5886
583	8243	5872
584	8257	5857
585	8272	5844
586	8286	5830
587	8300	5815
588	8313	5801
589	8327	5787
590	8341	5772
591	8355	5758
592	8369	5744
593	8383	5729
594	8396	5715
595	8409	5700
596	8423	5686
597	8437	5671
598	8450	5657
599	8464	5642
600	8478	5628
601	8492	5614
602	8507	5600
603	8521	5587
604	8535	5572
605	8549	5558
606	8563	5544
607	8577	5529
608	8591	5515
609	8605	5501
610	8619	5487
611	8632	5473
612	8646	5458
613	8660	5444
614	8674	5430
615	8688	5416
616	8702	5402
617	8718	5389
618	8732	5375
619	8747	5361
620	8761	5347
621	8774	5332
622	8788	5318
623	8802	5303
624	8816	5289
625	8829	5275
626	8843	5261
627	8857	5246
628	8871	5232
629	8883	5217
630	8897	5203
631	8911	5188
632	8924	5174
633	8937	5159
634	8951	5145
635	8965	5131
636	8979	5117
637	8993	5102
638	9007	5088
639	9021	5074
640	9035	5060
641	9048	5045
642	9060	5030
643	9074	5016
644	9088	5001
645	9101	4987
646	9114	4972
647	9129	4959
648	9143	4944
649	9156	4930
650	9170	4916
651	9184	4902
652	9198	4888
653	9212	4873
654	9226	4859
655	9240	4845
656	9253	4831
657	9267	4816
658	9280	4802
659	9293	4787
660	9308	4773
661	9322	4759
662	9335	4745
663	9349	4730
664	9362	4716
665	9376	4702
666	9391	4688
667	9404	4674
668	9418	4659
669	9431	4645
670	9444	4630
671	9458	4616
672	9472	4602
673	9485	4588
674	9498	4573
675	9511	4558
676	9524	4544
677	9537	4529
678	9551	4515
679	9564	4501
680	9578	4486
681	9591	4472
682	9605	4458
683	9619	4443
684	9633	4429
685	9647	4415
686	9660	4401
687	9674	4387
688	9687	4372
689	9700	4358
690	9714	4344
691	9727	4329
692	9740	4315
693	9753	4300
694	9766	4286
695	9780	4271
696	9793	4257
697	9807	4243
698	9821	4229
699	9836	4215
700	9850	4201
701	9865	4187
702	9880	4174
703	9893	4159
704	9906	4145
705	9920	4131
706	9934	4116
707	9947	4102
708	9961	4088
709	9974	4074
710	9988	4059
711	10001	4045
712	10015	4031
713	10029	4017
714	10043	4003
715	10057	3989
716	10071	3975
717	10084	3960
718	10098	3946
719	10111	3932
720	10126	3918
721	10139	3904
722	10152	3889
723	10166	3875
724	10179	3861
725	10193	3847
726	10207	3832
727	10220	3818
728	10235	3804
729	10248	3790
730	10261	3776
731	10275	3762
732	10288	3747
733	10301	3733
734	10315	3719
735	10328	3704
736	10343	3691
737	10359	3677
738	10373	3663
739	10387	3649
740	10401	3635
741	10416	3621
742	10430	3607
743	10445	3594
744	10458	3579
745	10472	3565
746	10486	3551
747	10500	3537
748	10515	3523
749	10529	3509
750	10543	3495
