iter	Logloss
0	0.6582736018
1	0.6296880713
2	0.6064795484
3	0.5886248019
4	0.5731070126
5	0.5597386592
6	0.5492796371
7	0.5412404854
8	0.5332837632
9	0.5276037167
10	0.5217764665
11	0.5168459587
12	0.5124246516
13	0.508802978
14	0.5055724442
15	0.5028545743
16	0.5001138698
17	0.4981289633
18	0.4958686597
19	0.4943864444
20	0.4925300831
21	0.4909002709
22	0.4896589541
23	0.4885048033
24	0.4872739408
25	0.486178373
26	0.4851283938
27	0.4840781653
28	0.4831024329
29	0.4823770471
30	0.4816077066
31	0.4808635202
32	0.4801396815
33	0.4794146284
34	0.4788763891
35	0.4782158069
36	0.4775910371
37	0.4770309616
38	0.476472907
39	0.4759335695
40	0.4751540394
41	0.4746100843
42	0.4742405625
43	0.4737926829
44	0.4734157053
45	0.4730973886
46	0.4727366336
47	0.4721639398
48	0.4719247572
49	0.4716051626
50	0.4711011203
51	0.470647298
52	0.4703276513
53	0.4699883936
54	0.4696979237
55	0.4692384521
56	0.468892012
57	0.4686637947
58	0.4684576733
59	0.4682530521
60	0.4678507408
61	0.4675995131
62	0.4673091211
63	0.4670799453
64	0.4668330612
65	0.4665255023
66	0.4663776709
67	0.4661091249
68	0.4659366422
69	0.4657857202
70	0.4655464122
71	0.4652693733
72	0.4649708379
73	0.464809977
74	0.464646214
75	0.4644789077
76	0.4643068857
77	0.4640925253
78	0.46398267
79	0.4637918217
80	0.4635230446
81	0.4633487352
82	0.4632128982
83	0.4630555888
84	0.4629498371
85	0.4628121078
86	0.4626979076
87	0.4626068742
88	0.4623756991
89	0.4622764055
90	0.4621610898
91	0.462004471
92	0.4618762285
93	0.4617878834
94	0.4616267676
95	0.4614308023
96	0.4613125527
97	0.4611430782
98	0.4610096523
99	0.4608813216
100	0.4607446509
101	0.4606159671
102	0.460504959
103	0.4603823009
104	0.4602601929
105	0.4601182266
106	0.4600195335
107	0.4598805135
108	0.4597703039
109	0.4596960983
110	0.4596204418
111	0.4595421228
112	0.4594447628
113	0.4593137371
114	0.4592118638
115	0.4591281924
116	0.4589748295
117	0.458841168
118	0.4587559764
119	0.4586665352
120	0.4585782247
121	0.458520671
122	0.4584041072
123	0.4582754846
124	0.4581959151
125	0.4580948477
126	0.4579968
127	0.4579312924
128	0.4578058526
129	0.4577108053
130	0.4575986086
131	0.4574866833
132	0.4573584032
133	0.4572514372
134	0.4571712996
135	0.4570822411
136	0.4569922449
137	0.4568590548
138	0.4567567467
139	0.4566753059
140	0.4565607696
141	0.4564730235
142	0.4563435368
143	0.4562251053
144	0.4561326545
145	0.456038927
146	0.4559414491
147	0.4558351116
148	0.4557109166
149	0.4556101688
150	0.4555105274
151	0.455412318
152	0.455262532
153	0.4551769884
154	0.4550607423
155	0.4549306906
156	0.4548299121
157	0.4547293746
158	0.4545988804
159	0.454492238
160	0.4543887645
161	0.4542923129
162	0.4541905814
163	0.4540994574
164	0.4539740984
165	0.453909884
166	0.453778175
167	0.4536936909
168	0.4536185503
169	0.4535383927
170	0.4534246447
171	0.4533143951
172	0.4532163288
173	0.4531210332
174	0.4530048375
175	0.4529184921
176	0.4528352446
177	0.4527203813
178	0.452638279
179	0.4525460753
180	0.4524634995
181	0.4523653445
182	0.4522664087
183	0.4521646007
184	0.4520747924
185	0.4519408399
186	0.4518338197
187	0.4517458143
188	0.4516588852
189	0.4515648604
190	0.4514560494
191	0.4513611378
192	0.4512547871
193	0.4511703084
194	0.4510982997
195	0.4509884376
196	0.4509101836
197	0.450817806
198	0.4507317256
199	0.4506618004
200	0.4505944753
201	0.4505051642
